Old_Segment,Old_Description
103027,IU-Sales
410050,Pro-Sales-Revenue
410060,IU-Sales- Revenue
110054,AXIS BANK SB - 21559
110055,FreeCharge SMS Payment
821110,PTC Transport Services
821120,Cluster's Transport Services
821130,DTC Transport Services
821140,TCD Transport Services
821150,KBS Transport Services
821160,MVR/EV Transport Services
821170,AI Transport Services
821180,Officers Vehicle Transport Services
821190,Medicine Transport Services
821200,Camp Transport Services
821210,FMD Transport Services
821220,Product Transport Services
821230,CFR Transport Services
821240,MIlk Tanker Transport Services
950000,Netting Control Account
500109,Purchase Account
821260,ADH Transport Service
104210,SUNDRY DEBTORS - MILK & PRODUCTS
104300,UN-IDENTIFIED DEPOSITS (BANKS)
104310,AXIS ANONYMOUS DEPOSITS
104350,BDCC ANONYMOUS DEPOSITS
104360,BOB ANONYMOUS DEPOSITS
104370,CANARA ANONYMOUS DEPOSITS
104380,SYND ANONYMOUS DEPOSITS
104400,SUNDRY DEBTORS - MPCS'S
104410,SUNDRY DEBTORS - MPCS'S
104550,SUNDRY DEBTORS( INTER STATE)
104560,SUNDRY DEBTORS( INTER STATE)
104650,SUNDRY DEBTORS(CHENNAI & A.P W.C&F)
104700,SUNDRY DEBTORS-KMF & UNITS
104710,K.M.F- KBS
104720,KMF POOLING SCHEME
104730,KMF PRODUCTS
104740,KMF PRODUCTS
500501,Promotional Sales Receivables Account
500502,Promotional Sales Revenue Account
500503,VIP Sales Receivables Account
500504,VIP Sales Revenue Account
100001,Bamul Closing Balance Account 2020
TA,Total Assets
100010,FIXED ASSETS
100020,FIXED ASSETS
100030,Asset Cost Accounts
100100,Asset Clearing Accounts
100150,Accumulated Depreciation
100200,CAPITAL WORK IN PROGRESS
100210,CAPITAL WORK IN PROGRESS
100220,CIP Cost
100320,CIP Clearing
100400,INVESTMENTS
100410,INVESTMENTS
100420,INVESTMENTS
100430,INVESTMENTS
100500,CURRENT ASSETS
100510,CLOSING STOCK
100520,MILK & MILK PRODUCTS STOCK
100530,Manufactured Products
100600,Bought Out Products
100650,P& I STOCK
100660,Trading P&I Stock
100700,Non Trading P&I Stock
102900,Inventory
102910,Inventory
102920,Inventory required accounts
103100,Raw Material
103110,Raw Material
103120,Raw Material required accounts
103200,WIP
103210,WIP
103220,WIP required accounts
103300,Balances
100002,Opening Balances Account 2021
821000,Transport Expenditure
821100,BMC Transport Expenditure
822000,Maintenance Expenditure
822100,BMC Maintenance Expenditure
400005,Other Revenue
272111,MPCS Infrastructure Contribution
272112,MPCS Staff Incentive
272113,MPCS Trust
272114,MPCS Staff Death & Returement Fund
821250,CCT Transport Service
501419,Ai Cluster Charges
200701,Ai Cluster Charges Payable
103310,Opening & Closing Balances
103320,Closing Balance
103350,Opening Balance
103400,LOANS & ADVANCES (ASSET)
103410,OTHER ADVANCES & DEPOSITS
103420,Advance - Prepaid
103430,Prepaid
103500,SERVICE DEPOSITS
103510,SERVICE DEPOSITS
103600,AUDIT OBJECTIONS DR
103610,AUDIT OBJECTIONS DR
103650,STAFF ADVANCE
103660,STAFF ADVANCE
103700,OTHER ADVANCES
103710,OTHER ADVANCES
103850,Tax Accounts
103860,Tax Accounts
103870,GST Accounts
103900,SUNDRY DEBTORS
103910,Trade Receivables
103920,Trade Receivable
104000,Other Sale Accounts
104100,OTHER DEBTORS
104110,OTHER DEBTORS
104200,SUNDRY DEBTORS - MILK & PRODUCTS
501734,Chilling Centre Maintain
501735,Contract Labour Charges
501736,Electricity Charges
501737,Freight Inward Milk Products
501738,Freight Inward Consumables & Spares
501739,Ghee Conversion Charges- Expenses
501740,Is-Pur-Bmc Spares
501741,Is-Pur-Building Repairs Mat
501742,Is-Pur Laboratory Mat
501743,General Insurance
501744,Hosakote Dairy Maintenance
501745,Kanakapura Dairy Maintenance Expenses
501746,Kkp Gst-Is-Pur-Building Repairs Mat-18%
501747,Kkp-Gst-L-Pur-Building Repairs Mat-18%
501748,"Analysis Charges (Milk,Products & Materials)"
501749,Laboratory Expneses
501750,Maintenance/Repair Of Buildings-Factory
501751,Packing Materials Charges
501752,Paneer Way Water Transportation
501753,Pest Control Expenses
501754,Pollution Control Expenses
501755,Product Storage Charge (Expenses)
501756,Rent On Plant&Machinery
501757,Repairs /Mainteance To Vehicle
501758,Repairs To Plant & Machinary (Works)
501759,S.M. To Smp Conversion Charges
501760,Tanker Hire For Conversion
501761,Iso & Haccp
501762,Transit Insurance On Products
501763,Transportation Charges - ETP
501764,Vehicle Insurance
501765,Vehicle Tax
501766,Water Charges
501767,Water Way Leave Charges-K.P
501768,Wmp Conversion Charges
501769,W.M. To Smp Conversion Charges
501831,Electricity Tax
501832,Fines & Penalties (Payment)
501833,Profession Tax Expense
501834,Other Rates & Taxes
501931,Dcs Term Deposit Interest
501932,Interest - Nddb Loan Under Didf
501933,Interest On WCL
501981,Advertisement & Publicity
501982,Agmark Labelling & Grading
501983,Brand Promotion Charges
501984,Freight Outward Exepnses
501985,Ground Rent Payment - Parlour
501986,L-Pur Bottle/Visi Cooler
501987,L-Pur-Sales Promotion Mat
501988,L-Pur Visi Cooler
501989,Ksheera Bhagya Scheme Expenses
501990,Marketing Expenses
501991,Rent - Marketing Regional Office
501992,Repairs And Maintenace Of Parlours
501993,Rural Marketing Transportation Expenses
501995,Sales Promotion Exp (Free Supply/Gifts)
501996,Subsidy For Bottle Coolers
501997,Subsidy For Insulated Ice Box
501998,Tanker Hire For Sales
502002,RCD Transport Services
502211,Computer Depreciation Expense
502212,Furniture & Fixture Depreciation
502213,Office Equipment Depreciation
502214,Plant & Machinary Depreciation
502215,Vehicles Depreciation
502261,Income Tax Provision
502262,Trade Fluctuation
502263,Infrastructure Fund Provision
100234,WIP-LMP EXPANSION  AT NMPC KANAKAPURA
501771,L- Pur Laboratory Material
501677,ERP Maintenance expenses
501772,L-BUILDING MAINTANACE
501773,L- Pur Laboratory Equipment
500833,L-Pur Computers (Cap)
501678,Registration and Renewal
500111,IS-Pur-Ai Surgicals & Equipments
501774,CHA Clearance Charges
500834,L-Pur Vehicle (CAP)
501770,L-Pur-Bmc Spares
500835,L-Pur Lab Equipment (CAP)
400006,Sale of Plant and Machinary
100235,WIP - ERP Software Development
501300,Kkp-L-Pur Raw Mat & Ingrediants
500472,Pur Of Dcs Mtrl-Equipments NPDD ( Trd-Local)
501532,Canteen Expenses (BNG)
100031,Assets Under Ndp-1 Rbp
100032,Bore Well
100033,Buildings
100034,Bulk Milk Coolers
100035,Canteen Equipments
100036,C O M P U T E R S
100037,Effluent Treatment Plant
100038,Furniture & Fixture
100039,Laboratory Equipment
100040,Land
100041,Land On Lease
100042,Ln2 Container
100043,Office Equipment
100044,Plant & Machinary
100045,Solar Water Heating Plant (Cst)
100046,Vehicles
100151,Computer Accumulated Depreciation
100152,Furniture & Fixture Accumulated Depreciation
100153,Office Equipment Accumulated Depreciation
100154,Plant & Machinary Accumulated Depreciation
100155,Vehicles Accumulated Depreciation
100221,Capital Advance To Kiadb Land
100222,Capital Goods-In- Stock
100223,Pre - Operative Expenses(Nmpc-Kanakapura)
100224,Wip - Bengaluru East Camp
100225,Wip - Cst Project(Megha Dairy)
100226,Wip - Effluent Treatment Plant (Main Dairy)
100227,Wip- Gowdown & Arch At Hosakote Dairy
100228,Wip - Hosakote Dairy
100229,Wip - Kanakapur Camp
100230,Wip-Magadi Camp Office
100231,Wip - Nmpc Kanakapura Dairy
100232,Wip-Powder Plant At Nmpc Kanakapura
100233,Wip - Product Block
100321,CIP Clearing
100431,Bdcc Bank Share
100432,Kmf S H A R E
100433,K M F Share Suspense Account
100434,Reserve Fund Fixed Deposit
100435,Fixed Deposit (Didf-Dsra) A/C
100436,Fixed Deposit With Banks
100437,Interest Accrued But Not Due
100531,Milk Bulk
100532,Milk Packed
100533,Desi Milk
100534,Flexi/UHT packed Milk
100535,Curd Bulk
100536,Curd Packed
100537,WMP
100538,SMP
100539,SMP Sweep
100540,Whey Powder
100541,Butter Bulk
100542,Butter Retail
100543,Ghee Bulk
100544,Ghee Retail
100545,Cheddar Cheese
100546,Mozirella Cheese
100547,Processed Cheese
100548,Paneer
100549,Butter Milk
100550,Sweet Lassi
100551,Flavoured Milk
100552,Mysore Pak
100553,Peda
100554,Khova
100555,Kalakand
100556,Paneer Burfi
100557,Cream
100601,NMP Products
100602,UHT Milk
100661,Liquid Nitrogen
100662,Mineral Mixture
EWS,EWS
100664,Milk Analyser
100665,Books & Registers- Trading
100666,DCS Materials- Trading
100667,Fodder &Seeds
100668,Goudhara Shakthi
100669,Milk Can & Lid
100670,Vet Drugs-Trd
100701,Vet Drugs-N.Trd
100702,Books & Registers- Non Trading
100703,DCS Materials- Non Trading
100704,Postal stamps in hand
103511,Deposit -Bda (Ca Sites)
103512,Deposit Bwssb
103513,Deposit Camp Offices/ Rent
103514,Deposit Court
103515,Deposit Hpc Gas
103516,Deposit Keb
103517,Deposit Parlours
103518,Deposit Telephones
103519,Deposit Wiht Bharath Gas
103520,Rental Deposit (Marketing Office)
103611,Audit Objection D.Halli Cf -Dr
103661,Advance Festival
103662,Advance Medical
103663,Advance Terminal Benefit
103664,Advance To Staff(Medical Expenses)-Salary Recovery
103665,Advance To Staff (Quarters)
103666,Gslis Recoverable
103667,Welfare Fund Recovery
103668,Salary Recoverable
103712,Advance For Materials/Services (Staff)
103713,Advance To Suppliers/Firms
103714,Advance To N R L M
103715,Axis Bank Bamul Branch (Rent)
103716,Bharath Perolium Corpn. Ltd
103717,D B Pura Parlour Building Rent
103718,Hindustha Petrolium Corpn. Ltd
103719,Indian Oil Corpn. Limited
103720,Kmf A I Incentives
103721,Kmf Retention
103722,M/S. Lakshmi Narasimha Enterprises (Court Pymt)
103723,Recovery From Bmc -Contractors
104111,Interest Subvention Receivable
104112,Sdrs- Cattle Feed Transport
104113,Sdrs- Other Transport
104114,Sdrs - Scrap Materials
104115,Sdrs - Stores & Other Materials
104116,Sdrs- Transport Contractor Dtc
104117,Sdrs- Ln2
104211,Fdr Amount Recd. From Bank
104212,Sdrs-Ihq Of Mod (Army)
104213,Sdrs - C C Retailors
104214,Sdrs - Day Counter Customers
104215,Sdrs - Parlour Concessioners
104216,Sdrs - Tcd Retailers
104217,Sdrs - Wsd Customers
104218,Sdrs- Credit Institutions
104219,Sdrs - Gen Customers
104311,Axis Anonymous Deposits (Cdm-Bna)
104312,Axis Anonymous Deposits (Edc-Cs)
104313,Axis Anonymous Deposits (Neft-Rtgs)
104314,Axis Anonymous Deposits (Saksham)
104315,Axis Anonymous Deposits (Upi-Imps-Mob)
104351,Bdcc Anonymous Deposits
104361,Bob Anonymous Deposits (Cash)
104362,Bob Anonymous Deposits (Digital)
104371,Can Anonymous Deposits (Cash-6474)
104381,Synd Anonymous Deposits (Cash-229)
104382,Synd Anonymous Deposits (Digi-229)
104411,Milk Bill Advance (Dcs)
104412,Pp Loan Mopeds
104413,Sdrs - Amcu
104414,Sdrs - Azolla
104415,Sdrs - Cattle Feed
104416,Sdrs - Dcs Materails
104417,Sdrs - Elec Weighing Scale
104418,Sdrs - Feed Supplements
104419,Sdrs - Fodder &Seeds
104420,Sdrs - Frozen Semen (Mpcs)
104421,Sdrs - Milk Analyzers
104422,Sdrs- Mpcs Local Sales Levy
104423,Sdrs - Mpcs (Milk Products)
104424,Sdrs- Mpcs (Tcs U/S 206C (1H)
104425,Sdrs - Producers (Ghee A/C)
104426,Sdrs - Vet Madicines/Equipments
104427,Sundry Debtors Mpcs Receivable
104561,SDRS BULK MILK SALES- RECEAVABLES
104562,Mother Dairy Fruits & Veg Pvt Ltd-Delhi
104563,"Adyar Anand Bhavan Sweets India Pvt Ltd,."
104564,"Akshara Foods Products,Dharmapuri"
104565,"Alsfa Dairy Products, Hyderabad"
104566,"Green Field Dairy Farms Pvt Ltd,."
104567,Jagath Milk Dairy
104568,"Kwality Milk Foods Pvt. Ltd,"
104569,"Madhumitha Dairy Products Pvt.Ltd, Krishnagiri"
104570,Mani Traders Pvt Ltd
104571,Mr. Jamuna Palgova Company Ltd
104572,"M/S Vijaya Sai Enter Prises Pvt Ltd,."
104573,"Nalgonda Ranga Reddy Milk Pro Co Op Union Ltd,."
104574,Pondichery Co-Op Milk Union
104575,"Prakasham Milk Producers Co Ltd,."
104576,Real Dairy Industries
104577,Sabari Ayyappa Dairy Farms Pvt Ltd
104578,"S N P Dairy Products, T.N"
104579,Splash (Rich Dairy)
104580,Sri Kannan Dairy Foods
104581,Srinivasa Chilling Center
104582,"Srinivasa Dairy Milk Panyam,"
104583,"Taruni Dairy Products Pvt. Ltd.,"
104584,Telanagana State Dairy Development Co-Op Federation
104585,Velmurugan Milk Dairy
104586,"Whilte Field Dairy Pvt Ltd.,"
104651,"Fresco Dairy, Chennai"
104652,"New Kwality Dairy, Chennai"
104653,R.K.R Dairy Products Pvt Ltd (Wc&F Che )
104654,"S.R. Traders, (Code: A-7256)"
104655,S.V.V Traders (Surendra Reddy)
104656,Vikram C M (Wc&F)
104711,Kmf-Kbs Wmp Sales (Bamul)
104712,Kmf-Kbs Wmp Sales-(Gumul)
104721,Kmf Milk Pooling Scheme - A P
104731,Kmf P R O Sales (Products)
104741,Kmf-Chennai Sales Depot
104742,Kmf-Hyderabad Sales Depot
104743,Kmf-Kannur Sales Depot
104744,Kmf-Kottayam Sales Depot
104745,Kmf-Trichy Sales Depot
104761,Kmf Bengaluru Sales Depot
104762,Kmf-Hubballi Sales Depot
104763,Kmf-Mangaluru Sales Depot
104764,Kmf- Shivamogga Sales Depot
104781,Kmf (Central Office)
104782,"Kmf Unit- Mother Dairy, Bengaluru"
104783,Nandini Hitech Mega Powder Plant-Ramanagara Receivable
104784,Nandini Milk Products-Kmf Bengaluru
104785,Kmf Grants Receivable
104861,Belgaum Milk Union Receivable
104862,Dakshina Kannada Milk Union
104863,Dempo Dairy Industries Ltd
104864,Gulbarga Milk Union Receivable
104865,Mysore Milk Union Ltd
104866,Chamarajanagara Milk Union Ltd Receivable
104867,Dharwar Milk Union Receivable
104868,Hassan Milk Union Ltd Receivable
104869,Kalaburgi-Bidar & Yadgir Milk Union Receivable
104870,Kolar Milk Union Ltd Receivable
104871,Mandya Milk Union Ltd Receivable
104872,"Raichur,Ballari & Koppal Milk Union Ltd Receivable"
104873,Shimoga Milk Union Ltd Receivable
104874,Tumkur Milk Union Ltd Receivable
104875,Vijayapura-Bagalkot Milk Union Receivable
104876,Chikkaballapura Milk Union Receivable
104877,Haveri Milk Union Receivable
104911,Abhiram Associates
104912,Axis Bank Logi Cash
104913,Deepak Starch & Chemicals Pvt Ltd
104914,Karnataka Express Transport-Gst
104915,Mohith Marketing
104916,M/S Akshaya Patra Foundation-(Kbs)
104917,M/S Atyam Subrahmanyam Traders
104918,M/S Baba Deep Sing Trading Co
104919,M/S. East End Enterprises
104920,M/S Fooly Impex Pvt Ltd
104921,M/S Shreya Group
104922,M/S Sri Sai Enter Prises Pvt Ltd
104923,Rama Enterprises
104924,Sdrs - Others
104925,"Warna Dairy, Kolhapur (Old Bal)"
104926,Writer Business Services Pvt Ltd (Axis Bank)
105721,BDCC ANEKAL (Camp) - 00651 Clearing
105722,BDCC BIDADI (Camp) - 91931 Clearing
105723,BDCC CHENNAPATNA (Camp) - 50212 Clearing
105724,BDCC DEVANAHALLI (Camp) - 33591 Clearing
105725,BDCC DODDABALLAPURA (Camp) - 62008 Clearing
105726,BDCC HOSKOTE (Camp) - 23404 Clearing
105727,BDCC KANAKAPURA(Camp) - 45570 Clearing
105728,BDCC - MAGADI (Camp) - 32539 Clearing
105729,BDCC NELAMANGALA (Camp) - 68885 Clearing
105730,BDCC RAMANAGARA (Camp) - 26479 Clearing
105731,BDCC TAVARKERE (Camp) - 31919 Clearing
105732,BHARAT CO-OPERATIVE BANK (Camp) - 0001 Clearing
105811,AXIS BANK SB - 11138 Clearing
105812,BDCC BANK CA - 53509 Clearing
105911,AXIS BANK CDM - 86114 Clearing
105912,AXIS BANK CA - 8955 Clearing
105913,AXIS BANK CA - 39044 Clearing
105914,AXIS BANK EASY PAY(Swiping Machine) - 7063 Clearing
105915,BDCC BANK CA - 53510 Clearing
105916,Y2 CANARA BANK - 0002 Clearing
105917,CANARA BANK SB - 06474 Clearing
106101,Y3 CANARA BANK SCP 0028 Clearing
106211,AXIS BANK CC - 66337 Clearing
106311,AXIS BANK SB - 26756 Clearing
106312,Y1 AXIS BANK - 4787 Clearing
106313,AXIS BANK - GOK - SB - 69154 Clearing
106314,AXIS BANK - GOK DCS STAFF INCENTIVE - SB - 79354 Clearing
106315,Y AXIS BANK (VBMPS-V) 918010095802030 Clearing
106316,BANK OF BARODA SB - 0338 Clearing
106317,Y1 BANK OF BARODA ST.JOHN NAGAR 0337 Clearing
106318,Y BANK OF INDIA -Virgonagara (Camp) 0212 Clearing
106319,Y CANARA BANK UTTARAHALLI ( Camp) - 0356 Clearing
106320,CANARA BANK CA - 00001 Clearing
106321,CANARA BANK-SANJEEVENI - NRLM - 1 - 05444 Clearing
106322,Y BUBRRD COOP MPSU LTD VBMPS NDP 1 CANARA BANK 0038 Clearing
106323,Y3 CANARA BANK - SB 5463 (VBMPS-3) Clearing
106324,Y CANARA BANK - SB 6424 (NDP-1 RBP-2) Clearing
106325,Y CANARA BANK - SB 6476 (VBMPS-IV NDP-1) Clearing
106326,ICICI BANK CA - 00031 Clearing
106327,KGB SOLUR (Camp) - 1907 Clearing
106328,Y1 KGB BSK 0047 Clearing
106329,Y2 STATE BANK OF INDIA - 0664 Clearing
106330,Y1 STATE BANK OF INDIA - 0030 Clearing
106331,SYNDICATE BANK - 00229 Clearing
106332,SYNDICATE BANK CA - 00214 Clearing
106333,Y3 SYNDICATE BANK - FD - NDP - 1 - 9740 Clearing
106334,YES BANK SB - 00174 Clearing
106335,AXIS BANK SB - 4560 Clearing
106336,AXIS BANK (KMF ROTARY KAMADHENU) - 72227 Clearing
106337,AXIS BANK OD 6502 Clearing
106338,AXIS BANK OD 3704 Clearing
106339,AXIS BANK OD 6768 Clearing
106340,BANK OF BARODA SB - 33850 Clearing
106341,AXIS BANK SB - 21559 Clearing
106342,FreeCharge SMS Payment Clearing
106343,AXIS BANK CA - 50450 Clearing
200131,Share Capital
200132,Share Suspense
200133,Nominal Membership
200231,Reserve Fund
200232,Education Fund
200233,Co-Op Publicity Fund
200234,Building Fund
200235,Research & Development Fund
200236,Endowment Fund
200237,Milk Producers Welfare Fund
200238,Members Bonus Payable
200239,Share Divdend Payable
200321,Infrastructure Fund Utilisation
200322,Building Fund Utilisation
200323,Contribution From Mpcs -Infrastructure Levy
200324,Infrastructure Fund Liability
200325,Trade Fluctuation Fund
200326,Ndp Corpus Fund
200327,Step-Corpus Fund
200328,Capital Reserve
200421,Reserve For Bad & Doubtful Debts
200422,Reserve For Non Moving Store Stock
200423,Provision For Income Tax
200531,Capital Grant In Aid Ndp-Rbp
200532,Goi-Undp Grant For Cst Project (Ate Enterprises)
200533,Goi-Undp Grant For Cst Project (Megawatt Solutions)
200534,Goi-Undp Grant For Cst Project(Thermax Linited)
200535,Gok - Indeginous Breed Proc & Mktg Grant
200536,Grant In Aid From Kmf - Inaaf Tab
200537,Grant In Aid From Kmf - Milko Scan
200538,Grant In Aid From Npdd For Bmc
200539,Integrated Cold Chain Project -Grant In Aid
200540,Kmf Infrastructure Grant-Uht Plant
200541,Ncdc Dmi Scheme Grant
200542,Ndp-1 Fodder Development Grant
200543,Rkvy Grant For Mobile Bmc
200544,Vbmps Capital Grant For Union Assets
200621,Nddb Loan Under Didf
200622,Nddb Project A/C
200671,Dcs Term Deposit
200672,Dcs Term Deposit ( Non-Operative)
200673,Interest Payable On Dcs Term Deposit
200731,D.Halli Cf Misapropriation-Cr
200702,Cattle Insurance Claims
200703,Cattle Insurance Claims (Desi)
200704,Dcs Losses
200705,Incentive Payable To Mpcs Staff (Product Sale)
200706,Milk Bill Stop Payment (Dcs)
200707,Mpcs Staff Death/Retirement Benefit Fund
200708,Mpcs Staff Incentive A/C
200709,Scrs Milk Bill Payable To Mpcs
200711,Scrs-Mpcs-Rationalisation Price
200712,Scrs - Animal Lifting Travis
200713,Scrs Camps (Cash Sales)
200714,Scrs - Chaff Cutter
200715,Scrs - Hydroponics (Fodder)
200716,Scrs - Milking Machine
200717,Scrs - Rubber Sheet For Cow
200718,Scrs - Vbmps
200719,Sundry Creditors Milk Purchase
200811,Chamarajanagara Milk Union Ltd Liability
200812,Dharwar Milk Union Liability
200813,Gulbarga Milk Union Liability
200814,Hassan Milk Union Ltd Liability
200815,Kalaburgi-Bidar & Yadgir Milk Union Liabiliy
200816,Kolar Milk Union Ltd Liability
200817,Mandya Milk Union Ltd Liability
200818,"Raichur,Ballari & Koppal Milk Union Ltd Liability"
200819,Raichur-Bellary Milk Union (Kbs Old)
200820,Shimoga Milk Union Ltd Liability
200821,Tumkur Milk Union Ltd Liability
200822,Vijayapura-Bagalkot Milk Union Liability
200823,Belgaum Milk Union Liability
200824,Chikkaballapura Milk Union Liability
200825,Mysore Milk Union
200826,Dakshina Kannaka Milk Union
200827,Haveri Milk Union Liability
200921,Kmf Kbs Wmp Advance
200922,Central Training Institute Bangalore
200923,Nandini Packaging Film Plant - Munnekolalu
200924,Nandini Hi-Tech Product Plant-Crp
200925,Nandini Sperm Station - Hesaraghatta
200926,Nandini Milk Products Plant - Kmf Complex Bangalore
200927,Nandini Hitech Mega Powder Plant-Ramanagara Liability
201021,Bamul Vima Yojane
