"ITEM_ID","ITEM_DESCRIPTION"
899382,"BOREWELL PUMP PIPES LIFTING AND LOWERING(DROPING) CHARGES"
891499,"Galileo Cob web round conduit beson"
902430,"SUBMISSION OF DRAWINS AND OBTAINING APPROVALS"
909398,"TEFLON TAPE 6 LITERS"
886397,"63.5MM LOWER SEATING GASKET"
6480,"63.5MM NRV BOTTOM GASKET"
894391,"L-PACKING NBR, PART NO-577631-01"
349247,"gasket 0007-1996-750"
913409,"28 MM SINGLE SPRING SEAL SIC/CAR/MP O-RINGS"
881392,"ASIAN PAINTS APCOLITE PHIROZI  0121"
913416,"Green conocarpus Plant"
915409,"RUBBERIZED GASKETS FOR TOP COVER"
919531,"(558320018-00) CASTOR WHEEL"
913410,"Gear 49 teeth Nylon-18023"
926457,"Sarve Kaddi (Support pole-Wooden)"
891386,"MYSORE PAK KHURPA 4 FEET"
934466,"STEAM BOILER WITH ACCESSORIES(1NO FO/GAS FIRED+1 NO SOLID FUEL BOILER+NO FUTURE BOILER)"
921452,"TAB. SIAGLIDE D"
927470,"PSCC POLE 9MTR LONG 200/300 KG"
887398,"SS 304 THREADED  RODS-73181900 (SIZE SETTING THREADED BOLT+NUT)"
919457,"Ghee Packing machine Spare- , UNWINDING PRESSURE STUD,  Part No : M-430033"
909383,"WEIGH BRIDGE-60MT (ANEKAL CHILLING CENTRE AMC WITH STAMPING )"
929445,"GUIDE CYLINDER 20-200"
479222,"Alfa level Wear ring  Part No 54164906"
956456,"PINGANI CUPS"
51004,"MBRT LOG BOOK"
965473,"ZOMET"
977466,"MACRO DIGESTION TUBE-250ML"
977468,"Maintenance &Repairwe Services of siemens VFD G120C PN Drive(3kw), S/N:SXAL131-001444/A5E03269718"
888394,"AUTOMATIC MILK COLLECTION UNIT WITH MILK ANALYZER"
984475,"WASHER (CAP) PART NO.8148"
958456,"DUST COVER, PART NO-MH26001396"
987456,"Fixing and Repair of KSB Make Movitec VCF 25B/04 pump with following items-Stage casing with Bearing-2nos Impeller-4nos,Stage casing with Bearing-2nos Impeller-4nos, Medium Sleeve-02 Nos,Impeller Reducer head-01 No,Shourd O ring-02 Nos,Seal"
987455,"CHOCOLATE BURFI 200 GM"
991507,"SS DEARATION VESSEL"
991512,"PASTEURIZED MILK TRANSFER PUMP TO NEW POWDER PLANT WITH VFD"
991520,"COMPRESSED AIR DISTRIBUTING PIPING"
991521,"MS I GI STRUCTURALS"
992478,"CORE BIT 8MM"
995499,"TRI-CLAMP GASKETS WITH BRIM SIZE:3'', MOC:EPDM"
117078,"ADJUSTABLE FACE WRENCH 125/6, 3MM  408-198"
989492,"BUSHING MFM-1824-18 IGUS"
991543,"IGNITION CABLE,1.0MM"
1008473,"Texmo Taro 10Hp 20 Stage Submercible Pumpset 3 phase"
881340,"RINGS, PART NO:GB01807A0052"
1010498,"OIL SEAL 150X165X9/12"
1020494,"CONDUCTIVITY METER 76 MM"
1019483,"240 Sq mm x 3.5 core Aluminium UG Cable"
993473,"ISO PROPYL ALCOHOL LR(25 LIT)"
482237,"8mm T connector"
1033482,"PUMPING PISTON, PART NO 001.04412/PVDL"
385213,"PEDA DIE-AFMROUND244-40mm"
7513,"CAP, RADIATOR 504385"
10017,"YEA-SACC 4'S"
1048507,"CURX LA 30ML"
1057526,"Calibration of Conductivity meters"
1058546,"Providing Super structure for kitchen, LED Stage, Pipe Pendal, Side walls, Red carpet, Teapoys, Banquet Chairs, Coolers, Grand Chairs, Plastic Chairs, Table with frills and Flower decoration on rent basis for GBM"
1059517,"STEAM GENERATOR -NON IBR/ BIO GAS OPERATOR, CAPACITY 45KW"
1065529,"ZT-160 -1000 CFM  AIR COMPRESSOR (AMC)"
1065530,"ZT- 160 VSD - 850 CFM AIR COMPRESSOR (AMC)"
1065531,"FD 850- AIR DRYER (AMC)"
1058509,"TRANSPORTATION CHARGES FOR KANAKAPURA DAIRY-CANTER"
1054524,"COMPREHENSIVE BIENNIAL MAINTENANCE CONTRACT FOR 3.5 KVA LUMINOUS UPS AT CHILLING CENTERS"
1064540,"AHUJA PA MIXER AMPLIFIERS SSB 120 DPM"
1054503,"VFD ACS580-01-09A5-4+J425+L523 (4KW / 5HP)"
1058525,"SCALP VEIN SET 22G"
1078527,"ESSL MB160 BIOMETRIC AND FACE SCANNER ACCESS DEVICE"
1084538,"operating water plug gasket,ITEM CODE:528020164"
1095527,"MIXER"
1100532,"INTERIOR WORKS IN ADMIN BLOCK AT BAMUL"
7867,"CHARGING LINE"
1113535,"83MM GLASS WAD"
1090526,"ZR75 Oil Cooler(PHE) ,Type :CB30-20M"
1119542,"STREPTOCOCCUS THERMOPHYLLUS ISOLATION AGAR"
1126533,"LDPE FILM-A2 COWMILK 1000ML"
1134527,"URINE AND STOOL EXAMINATION"
55026,"CEILING FAN 1200 mm (48 inch) Ceiling Fan (Ivory) 1 StarHavells/crompton"
62022,"HP LASERJET 1020 PLUS PRINTER"
54120,"DUOLIN RESPULES"
11096,"M S SQUARE ROD 10 MM"
24006,"MS FLAT 25*10 MM"
90028,"METOCARD XL 12.5"
145040,"3 Phase Failure Relay"
142028,"D-LINK CAT-6 CABLE"
171174,"IE5287 Inductive Sensor"
155184,"OUTLET DRAIN HOSE for RootScrubs M/c"
6203,"Asc Ration invoice IFS-1555"
54153,"ORS"
235216,"DIMA SILICONE WASHER 320060012443"
199175,"USSV_Actuator_NO_51mm 9613185302"
9254,"SILVER NITRATE PURE-25GRMS,"
141072,"NRV_ServiceKit_WetEnd_51mm"
141077,"NRV_ServiceKit_WetEnd_125/150mm"
7168,"ELBOW AIR CONNECTOR6X1/8 EXT MALE THRAD"
283173,"FBF HOMOGENIZERS OIL PUMP 038.0028"
146158,"LED High Bay Light - BY325P-80W"
145082,"230V AC Indicator Lamp complete set  (Blue Colour)"
54046,"STRAPPING ROLE"
7895,"FLEXIBLE 1613567600"
380189,"KAHALP-77 WOCKTROSE-25 540ML"
380212,"KAHALP-175 ORIPRIM 30 ml"
378189,"KAHALP-164 FLORATONE 1'S"
239176,"LINER SYSTEMS POSITION CONTROLLER PC-10"
11127,"Calcium chloride-500 GRM,  CaCl2"
162191,"COOTON ROLL LARGE"
9166,"REAGENT BOTTLE -125 ML"
310174,"50KL SEPARATOR SEALING KIT OUTLET 596244-83"
14002,"GOOD LIFE 180 ML"
337178,"COMPREHENSIVE BIENNIAL MAINTENANCE CONTRACT FOR 3 KVA EMERSON UPS AT BAMUL"
54063,"(Inactive Item) LDPE FILM HCM 500 ML 4 COLOUR"
379194,"Beetel C11 basic landline phone black colour"
10177,"INACTIVE ITEM (DISPOSABLE HAND GLOVES100'S)"
8696,"3/4 BALL VALVE"
354174,"FESTO SMT-C1-PS-24V-K0.3-M8D PART NO-571342"
513224,"250G DUPLEX BOARD CARTONS FOR KALAKANDH"
483227,"Upvc tee  15mm"
8459,"(INACTIVE ITEM) LDPE FILM SPECIAL TONED 500ML.-8 COLOUR"
530216,"SUPPLY, INSTALLATION OF SOLAR PACK WITH02 LIGHTS & 2DC POINT TO 13 WOMEN SOCITIES"
410223,"NTN 51305 BEARING"
532224,"SEDIMENT MASS/SLUDGE CONTENT APPARATUS -"
576223,"SUPPLY INSTALLATION  AND COMMISSIONING OF MILK CAN COOLER (MMC ) 320 LITERS CAPCITY"
579240,"VETDRUG 84-CHLORAZIN INJ-100ml"
586232,"PAYASA MIX 200 GM"
6308,"ASSORTED BOTTLE FM 200 ML"
8500,"TRANSPARENT PET JAR 200 ML GHEE PLASTIC"
434218,"CHS M3 X 10M01644"
597240,"LDPE FILM - H.C.M. 500 ML 4 COLOUR"
324175,"ALTERNATOR 4971861"
519229,"50kl Separator Servicekit MBPMake :Alfa levelPart No :6-59617989"
519222,"RCM Speedi sleeve Make :Alfa levelPart No :905060234"
308223,"CDC PLUG IN REDUCER PGJ 1008"
161172,"ADD BLUE DIESEL EXHAUST FUILED 50:50 TATA GENUINE(DEF)"
556229,"SKF-BALL BEARING 6303 ZZ"
161194,"FRONT TYRE BRIDGE Stone tyre forAltis Car 195/65-R15"
608248,"Guide bearing. Carbon graphite.F.003.02-DKAL520-31"
608240,"O-ring for upper bushing. B.003.09.-DKAL676-36"
339175,"PFM 0602020301  SPRING DF-0,5 DM-5 L-37,7 ST/ST"
340176,"2502200502 THERMOCOUPLE D.2 X 50 F-C"
434237,"63.5 mm SS bend"
547217,"L & T/KRANTHI 4’’ BUTTERFLY VALVE WITH M S FLANGE SET"
590227,"SD FINE GLYCEROL BP L25 20118BP"
162179,"INJ. AVIL"
628231,"WILDEN GLYDE RING 02-3210-55-225"
175202,"D76181 KARLSRUHE, 7MF-8010-1DN31-2FC1, 	TAB	Item Additional Information	TAB	TAB	TAB	90318000	TAB	18	\%O	Each	\{TAB 8}	Purchased Item - BAMUL	TAB	Active	*SAVE	*PB	*PB	"
579227,"UDDERCEF 3.5GM-VETDRUG 76-"
380221,"EXAPAR 500ML-KAHAUR-95"
378177,"ZOLOTO ½ ” S.S TD3 STEAM TRAP (SCREWED END )"
624243,"O-Ring Seal 4675 NBR
 part number:404T4675"
605237,"ORING SET KCX-3 #337.51.902.50."
660265,"DG SET MAINTANCE @ BMC FOR TWO YEARS"
639286,"Drive Pulley,19824"
670291,"VACUUM PUMP (IMPORTED)"
359194,"SS MILK COLLECTION TRAY"
192220,"Gasket 0007-2581-750"
192239,"Gasket 0004-3306-608"
633258,"CONTROL VALVE-1100-Q-300"
663269,"WASTE ROLL WINDING SHAFT"
597227,"LDPE FILM - CURDS 200 GRAM-4 COLOUR (20KG ROLL)"
694268,"LANYARD SILK"
579303,"BOROSIL AMBER REAGENT BOTTLE 500ML"
7357,"SWITCH DISCONECTOR FUSE UNIT:3KL50.63 AM"
579266,"(INACTIVE) FERTISULE-1boli-VETDRUG 356"
704274,"REPROMIN DRY- VETAL54-"
710280,"PRESSURE SWITCH P.P 2.5-50MBAR"
742290,"Providing and fixing Aluminium windows & plastering works at Anekal Chilling Center"
705276,"knife system complete for Scanima SFM200"
161191,"FRONT TYRE JK 7.50*16"
782299,"INSPECTION OF PRESSURE VESSELS-PEDA VAT"
693262,"1762 MicroLogix 1200 System, 16 Point 24 VDC Sink/Source Input Module: 1762-IQ16, Make: AB"
800304,"SERVICE CHARGES FOR APC 3 KVA INVERTER BOARD FAULT"
761330,"FLPA -07 SAFETY VALVE"
801297,"SD POTASSIUM CHROMATE 20199"
7448,"SOLENOID"
813302,"ARMATURE SHAFT WELDING AND BEARING SETTING"
483217,"Upvc pipe 20mm"
728288,"SET WEARING PARTS EWD330,1500C -2901063300"
6561,"FELT RING 0004-1957-830 FOR W/F 20KLPH C"
6436,"GEM.CLIP"
438219,"SHAWL"
840339,"PNEUMATIC SEAT VALVE WITH CONTROL HEADS FOR SUPPLY AND RETURN CIP"
648327,"Toothed belt SYN 16 T 5.0/940	1203162"
648309,"Plain Rollig 12/14	2119647"
648306,"Nilos Ring  6004 ZAV	2228023"
778346,"SHELF LIFE ANALYSIS RECORD"
778324,"SMP  REGISTER"
847346,"OTP SMS"
856345,"POLY DOSING TANK"
6216,"IZE:7.2”X9.5”"
642250,"L&T CONTACTOR  MNX-A1"
868350,"Cess"
832344,"5/2 VALVE PART NO:80260480510"
579274,"INACTIVE- MIPHOCOL INJ-450ml-VETDRUG 45"
816332,"TONOLON 30ml INJ- VETDRUG 309"
869340,"CALIBRATION OF COMPOUND GAUGE"
872339,"ROTEX CONTROL UNIT"
826341,"Vega Conveyor Spare Part: Shaft collar for 30mm bore sprocket , Model :12709"
884382,"CLEANING SWAB"
887383,"MOMENTOS(BUDDHA)"
889377,"SPARE SENSOR FOR GAS MONITOR"
890396,"BIOGAS BALLOON"
645268,"2INCH GI PIPE"
891435,"SERVICE OF  20 HP 3 PHASE INDUCTION MOTOR"
891438,"SERVICE OF  40 HP 3 PHASE INDUCTION MOTOR"
897381,"PET BOTTLE GOOD LIFE PISTA FM 180"
837341,"2½"" PVC LONGBEND"
901400,"1 1/2 F T A"
901408,"8'' PVC TAG"
902409,"F11579-FURFURALDEHYDE (FURFURAL)-98%-500ML,MAKE-NICE"
866345,"MILKYWAY BANDAGE, 10x1: 6*52 INCH"
908396,"WHATMAN FILTER PAPER NO.4,125mm"
897401,"50KL Bactofuse L-packing Part No: 594140 01"
900393,"STP (Treated water) Color, Odour, Suspended Solids, pH, Oil & Grease, BOD, COD, Chlorides-01 NO"
660266,"PRIMARY FLOW WRAP FOR SLICE"
812297,"3/4"" DUNLOP AIR WATER HOSE"
11204,"LOREXANE 30GM"
924444,"SITELOCK SECURITY-ESSENTIAL"
924445,"POSITIVE SSL CERTIFICATE"
926456,"HAXA BLADE SINGLE METRO 12MM 24 TPI"
919536,"Sensor Wire"
927462,"FLOOR CLEANER KIT"
945444,"WHITE PEBBLES 25KG"
955445,"TANK/BOWL GASKET"
940455,"IFM PRESSURE SWITCH,PK-6524"
956454,"RICE SPOON"
10188,"ALLUMINIUM ALLOY MILK CAN WITH LIDS"
942450,"FORCEPS CURVED/STRAIHT"
966464,"RAYCHEM 3C*400Sqmm OUTDOOR POTHED"
971457,"WIPER BLADE"
964459,"XYROFUR500 10ML VAILS"
965457,"MARBOMLIK 30ML"
965467,"BOVIT-H GOLD 200ML"
971478,"FEES FOR ADDITIONAL MAN-DAYS FOR UPGRADATION V6 – 1.5 MD’S -SV1"
354450,"SULPHUR 200C 100ML"
966458,"CUTTER WITH NUT"
987481,"MICROFIBER GLASS CLEANIG CLOTH"
978463,"SSD HARD DISK 256 GB"
992485,"WOOD CUTTING BLADE 12"""
987475,"TWO IN ONE TAP STEEL 1/2''"
8342,"DHOTI"
1003474,"ENGINE OIL SUPER 8.5LTR"
902393,"SODIUM THIOSULPHATE AR-500GM"
1005485,"VISHAMADHARI PLANT"
1009490,"GOLDEN THUJA PLANT"
881357,"ECCENTRIC BOLT, PART NO:GB02307A0103"
1010503,"1/2''X9'' MS PIPE NIPPEL"
924467,"PISTON & GP DIA70 LG02 BP02,PART NO:000477890"
992511,"IMPACT HEAD ,PART NO: 001.04582/T"
1019566,"R32 GAS WITH CYLINDER 10KG"
690303,"2KG MOZORELLA BLEND PRIMARY PACKING MATERIAL"
11204,"LOREXANE 100GM"
1018505,"APMICON C 4GM"
1023490,"Repair and  replacement of clutch booster"
1020515,"Supply and Fixing of Roller Zeebra Blinds"
1023505,"SHRIKHAND ELACHI 100 GMS"
7432,"BRASS BALL VALVE 3/4"
9403,"FLOOR WIPER, RUBBER"
1039495,"INCUBATION HEATING UNIT"
1039488,"AUTOMATION MODIFICATION"
9150,"ALUMINIUM MOISTURE DISH WITH LID"
1040501,"4 INCH NRV SS 304"
1039483,"FESTO VALVE TERMINAL SEAL -VMPA1-DP-PRS, Part Number 533365"
1041504,"NYLON MESH"
1031489,"Bat grip"
1041517,"TURBO ASSEMBLY COMPLETE SET"
262172,"TRAY FOR 100GR PEDA / MYSOREPAK."
1042514,"SELF DRILLING SCREWS"
1058536,"GHEE FILM - 200ML"
366175,"VCB BREAKER SERVICE"
1064549,"ALLUMINIUM PARATHA"
1085534,"LOCKING SCREW m12-100, PART NO:529000164"
1057509,"Male Connector   Code: 5x05033108"
1060518,"Egli 2T CBMM Beater Fed-Keil 28 X16 X50 EKB Butterungszyli  Part no.1377.012.0000
"
1060543,"Egli 2T CBMM  EBP Protective ring  Part no. 0462.003.0000"
1073527,"TARSON PETRI DISH AUTOCLAVABLE- 100MM"
1101528,"DIVOS C1 VM60"
1109530,"BLACK STONE FLOWER"
9842,"SWELLNIL OINTMENT 30 GMS"
1109537,"Mahindra & Mahindra  Bolero B4 BS6 2  Colour: White"
1123622,"Sensor (For Split AC Indoor)"
1127527,"APTx ACOUSTIC PULSE TECHNOLOGY SYSTEM CONSISTING OF APTx INSTRUMENT GUN, AM APPLICATOR MODULE CONTROL UNIT, 300 BAR COMPRESSOR WITH ACCESSORIES"
1136556,"CRICKET KIT BAG SF ADI-3000"
8950,"SHELL OMALA 220 OIL"
10149,"SS MILK STAINER SET"
10152,"SS MILK SAMPLER"
7029,"BEARING"
104030,"PISTON VALVE-Size:125 NB (5"")"
54155,"OMEZ D"
54161,"RANTAC 150"
42001,"ALFA SENSOR (KIT-078)"
145042,"Galvalume Sheets, 18"" x 4"" Sqft."
6297,"KHARA BOONDHI 200 GM"
108030,"SHRIKHAND ELACHI 150 GM"
164175,"FDV,38mm,   Plug ,change-over lower  RA,ISO , complete,EPDM (standard) 6-9613-1622-02"
235210,"DIMA BALL BEARING CKCBS2-2314-2RS-VT143-I"
235197,"BETAVAC V61B417A-A2000 CONTROL VALVE"
220172,"POLY CARBONATE SHEET 8X4X4MM"
122027,"6A, 240V WHITE 5PIN SOCKET"
201182,"PUMP GRUNDFOS A96501066 P31604"
253173,"GEARBOX OUTPUT SHAFT"
199186,"LKLA-T_Actuator_133mm 6-9612 37 4901"
7064,"8MM X 1/4 MALE THREADED CONNECTOR"
11017,"RAW MILK"
111049,"PVC WATERPROOF ELECTRICAL INSULATION TAPE BLACK 0.125X18MM"
58022,"WHEY POWDER KRAFT PAPER BAGS"
378204,"Providing MS truss made of 3inch GI B Class pipe Vertical supports at max 2m interval of minimum 8 feet height with tubular trusses made MS including cutting, Hositing, fixing in position and applying of painting with covering of GI sheet"
354354,"KAHALP-3 MINTHAL 6'S BOLUS 200MG"
380226,"KAHALP-92 VETMIN 1*20BOLI"
354400,"KAHAUR-205 HIMALAYAN BATISA 100GM"
346173,"ANTON PAAR PVT LTD DENSITY SENSOR DPRN 417E 105196"
331173,"POWER FLEX ARCHITECTURE CLASS HIM KEYPAD 20-HIM-A3"
331174,"POWER FLEX ETHERNET-IP COMMUNICATION ADAPTOR  20-COMM-E"
356197,"DISPOSABLE HAND GLOVES 100'S (A H)"
379172,"SS 304 3 WAY PLUG VALVE WITH SMS UNION SIZE:63MM CONNECTION MAK:IDMC"
54050,"ECCENTRIC HUB PART NO. 106"
210174,"COPPER TUBE TERMINALS (MEDIUM DUTY) 35 SQ MM"
132041,"CLOSING COIL 240V AC FOR C-POWER BREAKER"
385195,"I – TECH MODULE AX350I MODULE TO STORE INK AX- SERIES ITM TYPE"
7804,"SOLENOID VALVE 1089059021"
350192,"DONFOSS VFD 2.2KW/3HP 132F0022"
350193,"DONFOSS VFD 5.5KW/7.5HP 134F2978"
23010,"BOTTLE COOLERS 400 Ltrs"
297185,"QSY 4 Push in Y connector"
297186,"QSY 6 Push in Y connector"
297214,"QSC-4H Blanking Plug"
447216,"DANFOSS PILOT VALVE CVP - 027B0920"
462230,"Roller Bottom Cover for Seamer"
367173,"(INACTIVE ITEM) LDPE FILM 6 LITER TONED MILK-3 COLOUR"
552217,"Bansi Sooji"
9312,"(INACTIVE ITEM)HYDRO CHLORIC ACID"
420216,"EDI/DO/Duty/Handling Charges"
575216,"RAGI CRUNCHY BITES 180 GM"
354292,"ALU MILK CAN SPARE LID"
578217,"UDDER BALM 1021G"
579311,"VETDRUG 486-MILK VET TABLET-100s"
6596,"CORNER GASKET S-18 PHE"
9317,"NITRIC ACID 58-60%"
503216,"DIMA_INDUCTIVESENSOR_IL1/AP-3F Proximity Switches  Inductive Sensors IL1/AP-3F"
6019,"STAMP PAD, BIG"
8016,"BOTTOM DOOR STOPPER"
463220,"Finilex 100 Pair Jelly filled armoured telephone cable"
308217,"CDC BULK HEAD UNION PMM 06 * M14"
589225,"AIR CYLINDER  CRDSNU-25-40-P-A-S2   PART NO:552790"
622236,"BANANA  BOTTLE 200 ML"
534218,"FOSROC CONBEXTRA GP2  -  25 KG"
373187,"P025A0  FILTER ELEMENT"
373188,"608620090 SILENCER ELEMENT"
349239,"DMC 5/2 SOLENOID VALVE  -SY5140-5DZ-Q"
527223,"32MM ID, 48MM OD RUBBER ARMORED NYLON BRAIDED FLEXIBLE  WATER HOSE"
605222,"SHRIKHAND GAUVA 600 GM"
598218,"ROLON JOHNSON PUMP KGEN 12-5-MECHANICAL SEAL SET"
622231,"Sealing ring"
340181,"PFM 2515040201 STATIC RELAY CODE 2966618 PHO"
584219,"BLIND PLUG ART NO - 58627"
652275,"MODIFYING SUPPLY OF TWO TIRE CRATE CONVEYOR SYSTEM, WORKING PLATFORMS, CONVEYORS, CAT WALK, TABLE, TRAYS, STOOLS ETC.  FOR FFS MACHINE FOR CURD POUCH PACKING"
579278,"VETDRUG 168-REDEMA-10ml"
655282,"CORTALIFE INJ  VETAL166"
9001,"VETALGIN 33ML"
580228,"MEGLUM 20ML-VETDRUG-164"
579223,"MINTHAL BOLUS 6'S-VETDRUG 03-"
617271,"SPX SPRINGS"
614227,"BOROSIL REAGENT BOTTLE-AMBER 250ML 1509021"
605245,"CR BEARINGS #082.04.030.50."
605247,"SHAFT SEAL ASSEMBLY #082.08.000.50."
541251,"O-ring Clamp 1 1/2""  ,  Part no:2245753"
665278,"ANNUAL MAINTENANCE CONTRACT OF SIEMENS AUTOMATION OF POWDER PLANT , PROCESSED CHEESE & CBMM (NON –COMPREHENSIVE) AT KANAKAPURA DAIRY  SIEMENS  									"
620239,"AMC FOR VERTIV 200KVA UPS HIPULSE U"
651271,"WHITE GOGGLE (SAFETY GOGGLE) , SIZE; STANDARD"
597226,"LDPE FILM-SP.TM 250ML.(TAMIL&TELUGU)8.CO"
192238,"Gasket 0004-2390-838"
652268,"FORBES MARSHALL 80NB PISTON VALVE"
608216,"GI (METRO)SHEET 0.45MM THICKNESS,3.5FT WIDTH AND 15FT LONG ROOF GI COLOR COATED SHEETS"
701287,"CONCENTRATE TRANSFER PUMP"
647267,"MYSORE PAK KETTLE 40 KGS CAPACITY (AS PER TECHNICAL SPECIFICATION )"
217174,"2” SS 304 MANUAL BUTTERFLY VALVE TYPE (WELD TO WELD SERIES)"
696276,"Control Print Filter Kit AJT (1H D)"
304221,"STUD ELBOW FITTING MALE THREAD BSPP G1/2,  12MM AIR TUBE"
66027,"INRUSH CARD"
6563,"001.04586 - GASKET"
753296,"FOSROC Nitotile Grout 1 kg"
778310,"SERVICE CHARGES FOR DISMANTLING OF SOFTNER TANK"
810295,"HDPE TARPAULIN 400 MICRONS, SIZE:40'X30'"
829340,"Acalypha Green plant"
736297,"GASKET SET M50P (DM705 8-050)"
735299,"THRUST ADJUSTING LINER 200SI (CS7010 0-20010-1)"
831357,"TOILET"
728293,"3 PLY CORRUGATED BOXES FOR PACKING 200G BUTTERY SPREAD"
837352,"DCD CARD SERVICE"
842339,"SD FINE PHENALPTHLEIN POWDER 500G 30008K05"
648288,"Splined Shaft SYN Z=20	1110518"
847335,"WEIGHING CONSOLE SI-850 ESSAE MACHINE NO:SI850C22119058"
831337,"TUSQ D COUGH LOZENGES"
815310,"Supply and Installation of HORIZONTAL BLINDS- wooden Blinds for windows"
867335,"BSNL ILL SERVICE CHARGES FOR HOSKOTE DAIRY"
866355,"VETAMIN DAIRY, 100GM"
816340,"HAND GLOVES-PSI 100x1 VETDRUG 133"
890402,"FLOW SWITCH"
891454,"SERVICE OF  180WATTS ALSTOM SINGLE PHASE MOTOR SINGLE PHASE INDUCTION MOTOR"
891459,"SERVICE OF  400/350 WATTS SINGLE PHASE INDUCTION MOTOR"
901387,"1'' CPVC PIPES SDR11-LENGTH"
787294,"LINX SOLVENT 1505 FOR GHEE PET STICKERS"
6699,"GASKET 0004-5056-780 FOR W/F 20KLPH C.S"
6472,"51MM NRV BOTTOM GASKET"
894392,"WEAR RING, PART NO-577406-02"
914394,"TWO STAGE DIRECT CONTACT-REGENERATIVE HEATER CUM FLAH VESSEL"
914415,"KHARA BOONDHI 30 GM"
915389,"SERVICING OF 250 KVA TRANSFORMER INCLUDES NEW SILICAGEL BREATHER,  FILTRATION OF TRANSFORMER OIL AND OIL BDV TEST WITH TEST REPORT ."
919488,"SAFETY GOGGLES"
902421,"CASING GASKET FOR CN 50-315 L3"
927489,"STREET LIGHT POLE ALONG WITH ACCESSORIES"
883340,"GI PIPE (32MM DIA, 2.5MM THICK)"
919445,"L angle MS 1.5ft X 1.5ft 5 mm thickness"
927474,"NO 8 STRAIN INSULATOR"
927480,"GI GROUNDING PIPE B CLASS 42 MM DIA 2.5 MTR LONG 3.2 MTR THICK WITH BOLT, NUT, GI STRIPS AND WASHER COMPLETE"
887394,"KNOB OF HOPPER"
950453,"BADMINTON SHOES"
625229,"TAB. NIFTAS 100MG"
915385,"CORE CUTTING WORK"
950447,"SCISSORS BOTH END BLUNT 8''"
971458,"DOOR KNOB"
971473,"OIL COOLER SERVICING CHARGE"
965480,"CO-CUMIN 100TAB"
965475,"ACIDOBUFFO 200GM"
965462,"FARROSAFE 10ML"
972474,"CALCARIA FLUORICA-200 100 ML"
11216,"ARSENICUM 200X"
982453,"MONKY 555 BROOM"
984463,"STRIKE PIN-PART NO.8129"
989518,"STRAIGHT THROUGH JOINTING KITS HS TYPE SUITABLE FOR 3*95 SQMM`"
992519,"REIMBURSEMENT OF TRAVELLING EXPENSES INCURRED BY AMEYA &SPX ENGINEER DURING 17 NOV TO 19 NOV 2024 FOR EMERGENCY VISIT FOR SERVICING OF SEITAL SEPERATOR"
995470,"SUN CONTROL FILM"
999470,"BOLT SPRING (GOODS LIFT HIGH BOLT SPRING)"
989479,"RADIAL FLOW IMPELLER BODY LEFT-ROTATION"
1008482,"UNWINDING MOTOR"
1010534,"FEED PIPING NETWORK"
8332,"YELLOW PRIMER"
356204,"HYDROGEN PEROXIDE IP  400 ML"
1013484,"FILTER OF THE AUGER HOUSING (COOKER)"
1013482,"68 GRADE HYD OIL 26LTR (HP)"
1018519,"Samsung A06 5G Smasung Mobile Phone"
1019490,"SQUARE REFLECTOR  24 VOLTS"
1019534,"WATER BALANCE TANK 500L"
1019517,"SELF-SUPPORTING STEEL PLATFORM-FOR APPROACH OF TANKER MAN WAYS WITH SS RAILINGS-INCLUDED IN PLATFORM COSTS"
7488,"ELEMENT AIR CLEANER # 4020552"
925446,"ETP EQUALIZATION PUMP WITH MOTOR 1.5KW"
8263,"EMERY SHEET MEDIUM"
1009495,"FLAME SCANNER FLS 09 UV-5 REV.2,SIZE = SHORT, CABLE 3M, WITH MOUNT AND FASTENINGS"
617263,"EMULSIFING SALT FOR PROCESS CHEESE(JOHA Pz7,JOHA S9,JOHA C New,JOHA T New, JOHA C Spl)"
1028506,"DCN-50-100-PPV-A-STAND.BASED CYL"
1029492,"AG 2'' * 3/4'' R BUSH (IP)"
919497,"Set of Bowl Valves Gaskets (18Pcs)  832000073,MAKE""SPX,MODEL:SE41V,SERIAL NO:M02768"
919509,"Break Shoe with Pin & Elastic Pin (2 Pcs)   400046600,MAKE:SPX,MODEL:SE41V,SERIAL NO:M02768"
544219,"SS NIPPLE 1"""
1052508,"SBRUSH2 AP TOOLS 1PC"
1054531,"FLAVOURED MILK 500ML-5 LAYER UHT FLEXI FILM"
902389,"3/4'' CPVC COLLAR"
1064552,"MS WIRED JALARA"
1067527,"Roller :21*160mm for P.U Rubberizing"
1062529,"Tab. ERITEL BETA 25"
1069534,"710 MODEL AIR FILTER"
161195,"FLAP JK 8.25*16"
1063525,"SS 304 Pipe Seam less Size ID 40 NB ((1 1/2"")"
1052540,"Spacer, Part No:33138766"
1060535,"Egli 2T CBMM Kneader o-Ring  Part no. 5210.053.0035"
1060548,"Egli 2T CBMM  EBP GSP pressure housing seal on the bea  Part no. 0462.023.0000"
768296,"ESSAE MILK ANALYZER CLEANING SOLUTION- WEEKLY-200ML"
1102528,"OD-25MM*ID-12MM*70MM L CAST NYLON BUSH"
1094526,"TECHTROL MAGNETIC SWITCH"
10348,"FLARING TOOLS(BMC)"
1119535,"5MP IP CAMERA"
1124553,"DESIGN WORK -NANDINI A2 MILK 500 ML POUCH DESIGN (ADAPTATION)"
919493,"SCREW DRIVER KIT SET"
1129527,"PRINTER PARTS"
